name,code,xREF,region,incomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,BHR,BHR,Middle East & North Africa,High income,133771,138264,142562,146662,150586,154562,158721,162886,167344,172455,178526,185525,193462,202691,213665,226616,241851,259067,277116,294428,309879,322933,333966,343886,354080,365550,378681,393126,408262,423146,437125,450172,462099,473525,485406,498270,512505,528378,546230,566405,589313,614070,641005,673067,714149,766440,831853,907907,987106,1059145,1116709,1156802,1181803,1196496,1208291,1222642
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,65400,69587,74094,78851,83750,88711,93732,98783,103769,108558,113069,117237,121090,124752,128422,132250,136282,140478,144844,149345,153997,159061,164261,169531,174782,179942,184961,189862,194728,199681,204655,209069,213686,218337,222764,226813,230382,233580,236716,240212,244297,248767,253884,259464,265211,270901,276478,281980,287382,292676,297862,302925,307842,312595,317173,321567
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,612045,645129,682966,722477,763117,804207,845552,887225,929581,973216,1018851,1065029,1108223,1152592,1197597,1242637,1287421,1331998,1377162,1423944,1473160,1518429,1547255,1577260,1609042,1642462,1679228,1718092,1752732,1774234,1776801,1752748,1697843,1633815,1574226,1528862,1501015,1487894,1485740,1488287,1490829,1492731,1495309,1498066,1500622,1502760,1503964,1503908,1503684,1503739,1504418,1505753,1507555,1509760,1512362,1515288
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2656234,2772677,2895029,3022385,3153963,3282735,3415027,3551335,3690749,3831426,3978504,4133823,4290972,4447749,4602886,4741013,4877627,5019081,5167027,5309728,5448102,5591406,5734993,5879814,6025280,6167842,6312729,6457896,6578021,6669994,6722804,6766166,6820815,6876000,6907418,6924376,6940093,6949064,6954054,6972519,7000799,6995070,6998132,6996528,6994605,6991567,6993249,7004899,7024613,7051532,7080964,7109108,7142197,7182517,7233348,7293332
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,49742,50873,52015,53189,54411,55693,57045,58446,59828,61106,62266,63401,64395,65278,66085,66858,67589,68295,69062,70000,71173,72577,74222,76042,77942,79851,81780,83741,85656,87433,89022,90415,92013,93660,95674,98274,101555,105426,109657,113924,117876,120844,123555,126091,128600,131189,133865,136582,139308,141995,144605,147209,149821,152471,155187,157989
Bermuda,BMU,BMU,North America,High income,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65235
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,1357786,1395203,1433798,1473629,1514809,1557286,1601226,1646632,1693564,1742042,1792217,1844011,1897512,1952802,2010087,2069525,2131079,2221487,2324286,2430642,2540516,2653551,2770079,2889747,3012565,3138012,3266233,3397154,3531295,3668833,3810496,3956298,4104150,4230965,4361179,4494629,4622055,4752425,4885262,5020174,5156654,5294348,5433521,5573824,5715320,5857962,6001868,6146782,6292745,6439929,6588293,6737806,6888537,7040337,7193384,7347710
Brazil,BRA,BRA,Latin America & Caribbean,Upper middle income,33447815,35203380,37039861,38952449,40924135,42937459,44991232,47086230,49227661,51416009,53662830,55984948,58367725,60809449,63323592,65914293,68583915,71325329,74143582,77036096,80001713,83033769,86132191,89275790,92439275,95596665,98747090,101884104,105004752,108100770,111173619,114213597,117224140,120222927,123245138,126314197,129435676,132716719,136039755,139381292,142724527,145506370,148240131,150947181,153585084,156124894,158552239,160874827,163117673,165315639,167501292,169683995,171840969,173969754,176058531,178098311
Barbados,BRB,BRB,Latin America & Caribbean,High income,84931,85370,85875,86416,86942,87420,87841,88228,88618,89057,89661,90626,91678,92784,93910,95018,96102,97165,98199,99197,99825,98324,96772,95194,93618,92070,90554,89061,87588,86128,85012,85627,86243,86862,87492,88132,88787,89450,90119,90777,91286,91089,90869,90647,90437,90257,90109,89988,89878,89764,89629,89526,89455,89418,89418,89457
Brunei Darussalam,BRN,BRN,East Asia & Pacific,High income,35513,38755,42176,45814,49726,53954,58527,63439,68682,74211,80010,86060,89689,93020,96356,99686,103006,106307,109543,112658,115622,118416,123106,128201,133430,138852,144487,150326,156382,162654,169151,175882,182445,189100,195810,202507,209168,215788,222350,228835,235235,241520,247703,253799,259878,265999,272177,278392,284622,290829,296982,303065,309093,315048,320922,326710
Bhutan,BTN,BTN,South Asia,Lower middle income,8059,8695,9386,10136,10952,11841,12808,13866,15027,16315,17747,19345,21121,23069,25197,27499,29991,32671,35547,38592,41801,45127,48582,52240,56251,60695,65733,71336,77193,82806,87759,91756,94855,97497,100481,104512,109936,116691,124718,133713,143405,153792,164985,176854,189224,201633,211494,221267,230987,240733,250595,260570,270473,280265,289923,299425
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,16035,16618,17237,17894,19230,22870,27197,32347,38471,45716,54291,64409,71719,79433,88048,97690,108483,120491,133778,148336,164185,181325,208525,240496,276323,316129,360184,408486,461105,517811,578597,643191,678278,709458,740832,772083,803173,834065,864647,894706,924190,952860,971485,988626,1006744,1026562,1048420,1072142,1097518,1124119,1151598,1179994,1209289,1239261,1269515,1299662
Central African Republic,CAF,CAF,Sub-Saharan Africa,Low income,302204,317330,333405,350454,368614,387788,408131,429640,453120,477518,502749,528770,555727,583792,613439,644976,671551,693606,717190,742671,770327,800415,832806,866603,900517,933576,965320,996086,1026812,1054922,1081857,1111221,1142581,1175370,1208716,1241967,1275012,1308008,1340491,1372074,1402447,1431352,1459076,1486301,1514045,1543808,1575855,1610162,1646672,1685281,1725894,1768593,1813523,1860718,1910148,1961923
Canada,CAN,CAN,North America,High income,12368141,12729040,13121753,13522659,13934678,14343688,14763748,15136519,15487885,15804855,16132459,16470088,16708781,16967420,17247044,17548557,17756796,17976212,18167130,18358996,18607802,18852288,19121765,19355470,19583639,19807755,20046584,20316591,20585971,20961910,21282904,21585143,21927863,22245552,22536691,22800720,23129543,23491972,23812357,24125782,24455142,24806464,25054475,25330347,25610398,25889021,26125779,26440579,26788779,27157761,27522849,27857146,28250517,28641888,29021397,29336790
Switzerland,CHE,CHE,Europe & Central Asia,High income,2718204,2807954,2915607,3014876,3102042,3175203,3246083,3324422,3404837,3481909,3545846,3578731,3602554,3625652,3641615,3636410,3612091,3596286,3593029,3596663,3607371,3692988,3830823,3962180,4089876,4219325,4350934,4485819,4624403,4764772,4914685,5017092,5069206,5112044,5149461,5180397,5199719,5208645,5220447,5241761,5267636,5301074,5344095,5386680,5426645,5464346,5501590,5553847,5627771,5701396,5764063,5831516,5896805,5968886,6046826,6125070
Channel Islands,CHI,CHI,Europe & Central Asia,High income,42345,42433,42548,42684,42833,42990,43148,43306,43458,43605,43737,43828,43751,43641,43466,43213,42873,42465,42030,41627,41296,41159,41452,41801,42187,42592,43020,43349,43670,43947,44159,44257,44208,44119,44029,43967,44029,44319,44634,44968,45309,45681,46112,46551,46994,47436,47876,48312,48740,49157,49557,49938,50319,50702,51096,51506
Chile,CHL,CHL,Latin America & Caribbean,High income,5220450,5405948,5592410,5782764,5976975,6174513,6375695,6579783,6785404,6990276,7193106,7392202,7588944,7783319,7976191,8168284,8359642,8550316,8741156,8933096,9127115,9323092,9512837,9670641,9834207,10004590,10182343,10366831,10556482,10749135,10942810,11137014,11337079,11559758,11781112,12000305,12216607,12430061,12640859,12849960,13057607,13263991,13469045,13672194,13874171,14075325,14275531,14474994,14674228,14873474,15072950,15273039,15473275,15673249,15871991,16068971
China,CHN,CHN,East Asia & Pacific,Upper middle income,108085352,110327936,114685540,121162226,127791981,129348359,131746910,134196718,136747486,139527262,142386810,145443877,148131235,151552570,155688522,159452730,162497601,165293316,171153535,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,679766865,700862129,721691798,742299307,762590291
Cote d'Ivoire,CIV,CIV,Sub-Saharan Africa,Lower middle income,614296,681188,755956,839237,931709,1033836,1109078,1190324,1278139,1373204,1476280,1587780,1708139,1837311,1975709,2129175,2323462,2531877,2755319,2897042,3044119,3196572,3354294,3516481,3682269,3850910,4021692,4195047,4377036,4577613,4786677,5004600,5230244,5462112,5698026,5936029,6176582,6418977,6659754,6920867,7192080,7453653,7708177,7960924,8220312,8492632,8781036,9104016,9444756,9803085,10177987,10570970,10982025,11409323,11849399,12299703
Cameroon,CMR,CMR,Sub-Saharan Africa,Lower middle income,747214,793147,842310,894873,950991,1010719,1074456,1142467,1215013,1292176,1374506,1499839,1635698,1782432,1941158,2112454,2282625,2412875,2550799,2696729,2851222,3014387,3186727,3368497,3560020,3761279,3972809,4185467,4378852,4579228,4786742,5001336,5223245,5451876,5687634,5930238,6179872,6436343,6700375,6972724,7253799,7543433,7842372,8150937,8469836,8799027,9139177,9489638,9851161,10223553,10607487,11002822,11409568,11827446,12256208,12694798
"Congo, Rep.",COG,COG,Sub-Saharan Africa,Lower middle income,320302,336096,352792,370398,388948,408428,428899,450398,473065,497004,522407,549361,577870,607787,639540,673363,708354,744513,782069,821244,862234,905078,949801,996253,1044255,1088102,1127870,1168526,1210096,1252693,1296424,1341272,1387273,1434690,1483874,1535154,1588968,1646566,1705836,1765546,1824985,1883458,1941646,2001470,2065744,2136462,2214699,2299737,2389388,2480540,2570900,2659606,2747447,2835708,2926288,3020772
Colombia,COL,COL,Latin America & Caribbean,Upper middle income,7421611,7867396,8334979,8824176,9335583,9767764,10212563,10672609,11143652,11618651,12093958,12566386,13037900,13512224,13994900,14492482,15007920,15539189,16087083,16651220,17231064,17826368,18437760,19062084,19695989,20335603,20950826,21557416,22167802,22781232,23399252,24021341,24646079,25271468,25849756,26402587,26950896,27494663,28035482,28577102,29121153,29667772,30216135,30764323,31309971,31850004,32384094,32912232,33433776,33948212,34455106,34953799,35443456,35924805,36398403,36864092
Comoros,COM,COM,Sub-Saharan Africa,Low income,23688,25605,27663,29877,32274,34875,37716,39255,40882,42568,44295,46042,47833,49751,51922,54437,57357,60648,64223,67920,71622,75360,79117,82936,86908,91110,95567,100261,105187,110334,115696,121281,125186,128660,132180,135724,139301,142906,146524,150157,153793,157429,161074,164748,168498,172431,176549,180866,185384,190112,195062,200229,205638,211257,217084,223107
Cabo Verde,CPV,CPV,Sub-Saharan Africa,Lower middle income,33744,34906,36320,37966,39817,41826,44028,46406,48802,51004,52848,54338,55502,56415,57311,58383,59683,61181,62896,64814,67167,72592,78562,85011,91834,98902,108148,117780,127934,138820,150562,157350,164801,172798,181177,189784,198571,207513,216543,225549,234439,242875,251133,259084,266599,273575,279924,285701,291233,296948,303216,310088,317496,325289,333217,341064
Costa Rica,CRI,CRI,Latin America & Caribbean,Upper middle income,456620,474399,492866,513730,540990,568943,597593,626924,656841,687172,717862,748810,780143,811370,838729,867258,897129,928261,960758,994598,1029768,1066318,1104345,1143610,1184716,1240753,1298341,1357495,1418571,1481944,1548059,1616916,1688343,1762079,1837918,1915526,1994928,2075768,2157271,2238188,2317939,2414347,2509072,2602538,2695825,2789516,2883959,2978752,3073501,3167500,3260506,3352191,3441277,3527754,3611737,3693438
Cuba,CUB,CUB,Latin America & Caribbean,Upper middle income,4170491,4270964,4379049,4492013,4606099,4718436,4827570,4934081,5039163,5144851,5252256,5408547,5577635,5745493,5908088,6061747,6205492,6339810,6465748,6584612,6698346,6805581,6889768,6969238,7055317,7152167,7263001,7385766,7515284,7643116,7763439,7857234,7925901,7987708,8045326,8100685,8153645,8208302,8265409,8320241,8373497,8425495,8476204,8517332,8547525,8573489,8594746,8611982,8627210,8643108,8661691,8683933,8708986,8734585,8758502,8778391
Curacao,CUW,CUW,Latin America & Caribbean,High income,93258,94722,96940,99290,101532,103656,105249,106879,109059,111346,113545,116141,116907,116777,118424,119543,120253,120788,120361,120434,121052,121992,123658,124984,126083,127169,127569,126993,125566,124022,123122,122666,122964,124420,125783,127258,129273,130794,129469,125761,121481,117447,117440,119730,121652,124627,127696,130064,131527,132200,133691,135409,136350,137728,139429,141179
Cayman Islands,CYM,CYM,Latin America & Caribbean,High income,7867,8026,8142,8228,8299,8371,8442,8518,8632,8831,9144,9583,10137,10785,11494,12238,13020,13840,14663,15447,16164,16795,17357,17911,18543,19315,20254,21343,22539,23776,25009,26211,27402,28652,30055,31672,33535,35596,37742,39810,41685,43317,44742,46032,47299,48623,50028,51480,52925,54285,55509,56580,57522,58369,59172,59967
Cyprus,CYP,CYP,Europe & Central Asia,High income,204123,208511,211862,214845,218033,221861,226504,231850,237757,243914,250117,256310,262548,271554,289096,307185,325890,345030,364357,383378,401744,419079,435529,442972,448297,455135,463748,473988,485670,498402,511912,526175,541230,555090,568561,581990,595213,608219,621145,634211,647548,661202,673121,684262,694927,704926,714150,722676,730633,738204,745550,752685,759580,766425,773170,779830
Czech Republic,CZE,CZE,Europe & Central Asia,High income,5717803,5758030,5828213,5903373,5985712,6064767,6137954,6205159,6267134,6326884,6348795,6416419,6560396,6712314,6871460,7032685,7191239,7343835,7491275,7633521,7745353,7774989,7782743,7786562,7788361,7790569,7791420,7792255,7795245,7796600,7772750,7747721,7742438,7737165,7726630,7708571,7686196,7664419,7643675,7622397,7587516,7547721,7526242,7517054,7512306,7515659,7528974,7565828,7621676,7657912,7673029,7681562,7684960,7681727,7685503,7701546
Germany,DEU,DEU,Europe & Central Asia,High income,51978188,52609561,53122383,53664331,54147106,54659677,55166778,55468832,55765529,56259360,56496072,56645245,56961784,57186457,57253758,57085531,56885943,56801863,56796181,56865826,57028530,57229147,57267174,57114118,56792461,56485448,56438249,56204314,57044790,57469536,58079842,58625381,59146205,59553351,59729328,59858576,59987869,60024842,59979781,59985722,60069483,60208501,60360131,60442253,60475342,60495445,60541749,60626203,60675256,60683876,60752899,60929451,60068439,61509219,60812999,61304912
Djibouti,DJI,DJI,Middle East & North Africa,Lower middle income,42090,45531,49567,54122,59120,64505,70354,76745,83630,90930,98637,106496,114638,123925,135607,150520,169484,192053,216270,239214,258796,273624,284487,292732,302289,317285,338905,365830,395317,423315,446898,464812,477577,487127,495558,504401,513970,523784,533740,543542,552991,562150,571201,580128,588906,597512,605962,614293,622604,631015,639684,648634,657861,667315,676950,686698
Dominica,DMA,DMA,Latin America & Caribbean,Upper middle income,22714,23140,23541,23939,24362,24832,25360,25932,26499,26995,27494,28247,28884,29459,30063,30762,31590,32519,33493,34416,35216,36024,37226,38315,39327,40288,41202,42059,42901,43778,44741,45685,45830,46038,46209,46268,46187,45995,45756,45561,45476,45545,45855,46234,46625,46982,47294,47576,47846,48134,48460,48831,49234,49662,50100,50541
Denmark,DNK,DNK,Europe & Central Asia,High income,3374572,3431879,3490118,3548824,3608088,3666724,3723679,3779458,3828566,3875429,3930043,3982363,4029765,4078304,4121150,4156474,4189964,4217587,4245152,4269868,4289152,4297767,4300240,4302863,4306181,4313449,4324701,4335668,4343212,4351259,4361727,4374504,4390390,4406442,4422754,4447268,4473929,4493986,4511769,4528106,4544013,4563004,4582981,4601394,4624434,4652908,4681382,4712839,4751268,4785983,4815111,4844002,4872608,4903183,4938153,4976492
Dominican Republic,DOM,DOM,Latin America & Caribbean,Upper middle income,995755,1060756,1130118,1202967,1279361,1359146,1442416,1529136,1619430,1713095,1810657,1912233,2017356,2125829,2237781,2353056,2471750,2593475,2718598,2847046,2979052,3114323,3224812,3313948,3404189,3495417,3587611,3680767,3775008,3870448,3967240,4065500,4164987,4265236,4399935,4545718,4691973,4838654,4986287,5135523,5287077,5440575,5596225,5792814,6007523,6222793,6438574,6654556,6870529,7085614,7299960,7513236,7721788,7925115,8122983,8315323
Algeria,DZA,DZA,Middle East & North Africa,Upper middle income,3394205,3626403,3882767,4154286,4443888,4753164,5041536,5208671,5383537,5563573,5747263,5933928,6124851,6321297,6525328,6738779,6961530,7240239,7611662,8004279,8420031,8858977,9321410,9805134,10307409,10824415,11355687,11892453,12421409,12956680,13496455,14039512,14584467,15126408,15661221,16185541,16698277,17198588,17690345,18188570,18684936,19179115,19674408,20176831,20694870,21234892,21799703,22389513,23009066,23656184,24333777,25044389,25784533,26543182,27304259,28054939
Ecuador,ECU,ECU,Latin America & Caribbean,Upper middle income,1539941,1611926,1687400,1763827,1842031,1923644,2008863,2097624,2190066,2285835,2385164,2487847,2594112,2703745,2818332,2960069,3106957,3258748,3415784,3578063,3745820,3918768,4097263,4273674,4450521,4632897,4821261,5015235,5214941,5419513,5629143,5827712,6019370,6213711,6410430,6608763,6808782,7010106,7212090,7413921,7614917,7814345,7989379,8148651,8310323,8476149,8646854,8822171,9000855,9181334,9362558,9544233,9727850,9913297,10100896,10290740
"Egypt, Arab Rep.",EGY,EGY,Middle East & North Africa,Lower middle income,10250692,10643444,11031301,11429112,11836303,12252252,12677663,13112128,13552962,13995465,14437563,14878048,15319509,15768232,16232715,16720893,17234771,17689456,18111009,18554697,19021018,19508977,20018418,20551178,21109592,21693863,22305858,22892316,23454517,24001722,24520406,25005656,25461382,25894086,26314237,26730718,27143250,27623003,28151598,28690755,29245289,29818704,30412037,31019518,31632326,32245344,32853623,33430823,34005539,34621623,35293215,36028683,36835901,37695884,38581068,39472012
Eritrea,ERI,ERI,Sub-Saharan Africa,Low income,137258,144980,153198,161901,171137,180897,191235,202169,210169,218550,227364,236658,246407,256635,267337,278517,290170,302318,315023,328370,342417,357061,372236,388079,404461,419759,436166,453430,470227,484805,495975,503364,507658,510746,515212,523215,535378,551304,571066,594291,620597,650445,683792,719488,755879,791690,826280,860021,893557,928173,964758,1003606,,,,
Spain,ESP,ESP,Europe & Central Asia,High income,17227480,17614512,18089104,18560792,19059712,19580951,20096611,20660198,21248036,21772801,22330440,22856453,23303472,23753599,24221690,24718725,25240626,25780183,26373797,26845074,27251499,27655902,27893653,28114910,28319255,28511757,28687455,28846792,28998171,29142482,29274191,29409885,29539122,29663241,29775368,29877416,29978945,30090155,30227763,30416230,30705534,31114354,31708814,32390830,33059302,33727737,34408810,35159317,35833174,36260460,36535850,36773882,36904876,36889975,36884904,36939194
