TradDate,Brent,RBOB,WTI,Corn,Gold,Soybean,JPYLibor,USDLibor,EURUSD
20080206,87.78,2.2399,87.14,501.4,900.7,1318.4,0.502,2.94,1.43145
20080207,88.51,2.2678,88.11,499.4,906.1,1331.4,0.495,3.03,1.4366
20080208,91.94,2.3572,91.77,508,918.4,1339,0.5,3.05,1.4409
20080211,93.53,2.3962,93.59,503.4,922.9,1326,0.5,2.88,1.4119
20080212,92.86,2.368,92.78,497.6,907.4,1321,0.501,2.91,1.4156
20080213,93.32,2.3899,93.27,497,906.5,1328.4,0.5,3.02,1.42365
20080214,95.09,2.4761,95.46,511,907.4,1368,0.511,3.03,1.42505
20080215,94.63,2.4938,95.5,514.6,902.8,1373.6,0.505,2.97,1.43085
20080219,98.56,2.6031,100.01,520,926.6,1398.4,0.499,2.94,1.40885
20080220,98.42,2.5852,100.74,523.4,934.6,1397.6,0.504,3,1.4145
20080221,96.24,2.522,98.23,524.4,946.1,1405.6,0.509,3.01,1.43185
20080222,97.01,2.5337,98.81,522.2,944.7,1420,0.502,2.97,1.4282
20080225,97.69,2.5419,99.23,533.2,937.6,1452,0.505,3,1.44905
20080226,99.47,2.5505,100.9,530.4,946.1,1466.6,0.504,2.85,1.46345
20080227,98.27,2.4777,99.64,525,958.2,1459,0.509,2.93,1.45755
20080228,100.9,2.4957,102.59,543.2,964.5,1498.4,0.507,3.06,1.4691
20080229,100.1,2.5123,101.84,546,972.1,1522,0.512,3.01,1.45835
20080303,100.48,2.672,102.45,555.4,981.5,1544.4,0.506,3.1,1.4414
20080304,97.52,2.5291,99.52,543,963.9,1494,0.502,2.9,1.4441
20080305,101.64,2.6421,104.52,557,986.2,1490.4,0.502,2.93,1.41805
20080306,102.61,2.6532,105.47,557,975,1443,0.497,2.99,1.4208
20080307,102.38,2.6943,105.15,533.4,972.2,1341,0.502,2.96,1.43075
20080311,105.25,2.7261,108.75,564,974.2,1392.4,0.501,2.95,1.4256
20080312,106.27,2.7286,109.92,556.6,978.8,1379,0.502,2.97,1.41895
20080313,107.54,2.6828,110.33,559.6,992.3,1387,0.519,2.98,1.4287
20080314,107.55,2.6894,110.21,545.4,998.2,1340,0.483,2.99,1.43705
20080317,101.75,2.5042,105.68,539.2,1001.4,1302.6,0.51,2.69,1.4528
20080318,105.56,2.66,109.42,547.2,1003.2,1307,0.511,2.16,1.45405
20080319,100.72,2.5603,104.48,527.2,944.7,1257,0.511,2.08,1.4429
20080320,100.38,2.6051,104.48,507.4,919.6,1207,0.511,2.22,1.43195
20080324,99.86,2.6412,100.86,524.6,918.3,1257,0.513,2.08,1.3977
20080325,100.6,2.6802,101.22,544.6,934.6,1307,0.5,2.42,1.4158
20080326,103.99,2.7429,105.9,552.2,949,1352,0.496,2.3,1.4143
20080327,105,2.7163,107.58,555.4,948.8,1327.2,0.5,2.27,1.41575
20080328,103.77,2.717,105.62,560.4,930.6,1267.2,0.498,2.09,1.41125
20080331,100.3,2.6163,101.58,567.2,916.2,1197.2,0.641,2.51,1.44245
20080401,100.17,2.6163,100.98,584,882.9,1211,0.505,2.38,1.43585
20080402,103.75,2.6163,104.83,595.6,895.2,1243,0.504,2.18,1.4378
20080403,102.52,2.6163,103.83,600,905,1257,0.5,2.19,1.45105
20080404,104.9,2.6163,106.23,598,909,1277,0.499,2.26,1.43685
20080407,107.14,2.7835,109.09,590,922.7,1255,0.51,2.24,1.425
20080408,106.34,2.7504,108.5,591.2,914,1251.4,0.501,2.23,1.42035
20080409,108.47,2.7742,110.87,605,933.6,1313,0.502,2.2,1.43235
20080410,108.2,2.7921,110.11,594.2,928.3,1356,0.503,2.3,1.40905
20080411,108.75,2.8073,110.14,584.2,923.6,1332.4,0.504,2.37,1.42775
20080414,109.84,2.8218,111.76,591.6,925.4,1372.4,0.516,2.32,1.41765
20080415,111.31,2.881,113.79,606,928.7,1380,0.522,2.32,1.42405
20080416,112.66,2.939,114.93,603.4,945.1,1344.6,0.503,2.35,1.42495
20080417,112.43,2.9578,114.86,603.4,939.8,1350.4,0.503,2.37,1.44435
20080418,113.92,2.9893,117,599.4,912.2,1361.4,0.503,2.32,1.44075
20080421,114.43,2.9791,117.48,580.2,914.7,1315.4,0.505,2.28,1.43975
20080422,115.95,3.0164,119.37,594.2,922.3,1374.6,0.502,1.99,1.4357
20080423,116.46,3.0507,118.3,587.6,906.2,1372,0.503,2.18,1.44415
20080424,114.34,3.0186,116.06,576.2,886.8,1348.6,0.503,2.26,1.44145
20080425,116.34,3.0537,118.52,577.2,887.2,1325.6,0.504,2.28,1.43795
20080428,116.74,3.0307,118.75,600,892.9,1283.4,0.515,2.29,1.4442
20080429,113.43,2.9392,115.63,591.2,874.2,1279.4,0.515,2.21,1.4375
20080430,111.36,2.9312,113.46,600.2,862.8,1301.6,0.522,2.37,1.42595
20080501,110.5,2.9312,112.52,605.4,848.9,1258.6,0.504,2.16,1.4206
20080502,114.56,2.9312,116.32,602,856.1,1292.4,0.475,1.88,1.40975
20080505,117.99,3.0529,119.97,582,872.3,1273,0.475,1.85,1.3882
20080506,120.31,3.1055,121.84,594.6,876,1264.4,0.475,1.91,1.3652
20080507,122.32,3.1182,123.53,601.4,869.6,1297.2,0.504,2.01,1.36785
20080508,122.84,3.1378,123.69,618.6,880.6,1298.2,0.501,1.99,1.3678
20080509,125.4,3.2012,125.96,618.4,884.5,1349.4,0.502,1.97,1.37545
20080512,122.91,3.1642,124.23,603.4,883.7,1335,0.51,1.88,1.3692
20080513,124.1,3.2,125.8,597.4,868.5,1374.4,0.512,1.93,1.37015
20080514,121.86,3.1804,124.22,589.6,865.4,1371,0.519,2.03,1.3571
20080515,121.25,3.1658,124.12,599,879,1347.4,0.499,2.03,1.3462
20080516,124.99,3.2235,126.29,591,899,1378,0.507,1.91,1.35
20080519,125.06,3.2366,127.05,586.6,905,1333,0.505,1.95,1.35435
20080520,127.84,3.3044,129.07,589.6,919.5,1331.4,0.503,1.99,1.3598
20080521,132.7,3.3965,133.17,607.2,928,1349,0.503,2.03,1.33875
20080522,130.51,3.3297,130.81,595.6,917.9,1324.6,0.503,2.05,1.3176
20080523,131.57,3.396,132.19,599.6,925.6,1368,0.502,1.99,1.33535
20080527,128.31,3.383,128.85,598,907.7,1347.6,0.503,2.23,1.3642
20080528,130.93,3.4476,131.03,592.4,900.5,1372.6,0.502,2.08,1.36405
20080529,126.89,3.4042,126.62,582.2,877.2,1322.6,0.504,2.01,1.3793
20080530,127.78,3.4089,127.35,599.2,887.3,1363.4,0.527,1.98,1.3777
20080602,128.02,3.3907,127.76,615.6,892.9,1365.4,0.533,2.06,1.37525
20080603,124.58,3.3525,124.31,608,881.6,1359.4,0.517,1.95,1.37605
20080604,122.1,3.1951,122.3,614.4,879.9,1389,0.517,1.98,1.378
20080605,127.54,3.3345,127.79,643.2,871.8,1452,0.504,1.98,1.38965
20080606,137.69,3.548,138.54,650.6,895.4,1457.4,0.496,2.01,1.39285
20080609,133.91,3.394,134.35,657.2,894.7,1452,0.501,2.02,1.41885
20080610,131.02,3.3193,131.31,673.2,867.9,1446.4,0.506,1.96,1.41485
20080611,135.02,3.4658,136.38,703.2,879.7,1516.4,0.506,1.95,1.3861
20080612,136.09,3.526,136.74,709,869.2,1536.4,0.515,2.01,1.36965
20080613,134.25,3.4626,134.86,731.6,870.3,1560,0.453,2.02,1.37485
20080616,134.71,3.4379,134.61,732.4,883.6,1534,0.509,2.06,1.37755
20080617,133.72,3.4179,134.01,742.2,884.3,1558,0.505,1.87,1.38345
20080618,136.44,3.4667,136.68,746.2,890.9,1556,0.505,1.84,1.35425
20080619,132,3.3526,131.93,727.6,901.7,1545.4,0.512,1.94,1.36115
20080620,134.86,3.4392,134.62,721.2,901.3,1532.4,0.509,1.99,1.3746
20080623,135.91,3.4551,136.74,724.2,884.8,1515,0.509,1.98,1.34625
20080624,136.46,3.4635,137,712.4,889.2,1501,0.51,1.93,1.34585
20080625,134.33,3.3941,134.55,730,880,1537.4,0.507,1.97,1.3523
20080626,139.83,3.5113,139.64,753.6,913.1,1574.2,0.506,2.05,1.34885
20080627,140.31,3.5012,140.21,754.6,929.3,1581.4,0.507,1.99,1.35045
20080630,139.83,3.5015,140,724.6,926.2,1605,0.572,2.47,1.32365
20080701,140.67,3.5015,140.97,719.4,942.5,1628,0.507,2.11,1.33195
20080702,144.26,3.5494,143.57,748.6,944.8,1645.6,0.509,1.95,1.33165
20080703,146.08,3.571,145.29,746,931.9,1658,0.504,1.92,1.3307
20080707,141.87,3.4827,141.37,716.4,927.3,1589,0.501,1.99,1.3402
20080708,136.43,3.3631,136.04,692.6,921.9,1561,0.502,1.97,1.3412
20080709,136.58,3.3808,136.05,683,927.3,1578,0.502,1.99,1.33405
20080710,142.03,3.5109,141.65,675.2,940.9,1609.4,0.502,2.01,1.33815
20080711,144.49,3.5632,145.08,680,959.5,1630.4,0.505,1.97,1.31875
20080714,143.92,3.5577,145.18,657,972.7,1595,0.506,2.06,1.30155
20080715,138.75,3.3848,138.74,648.2,977.7,1542,0.454,2.16,1.3043
20080716,136.19,3.2794,134.6,658.4,961.8,1573,0.501,1.95,1.2999
20080717,131.07,3.1633,129.29,631.2,970,1521,0.502,2.03,1.30815
20080718,130.19,3.1709,128.88,609.4,957.3,1470,0.503,1.96,1.3047
20080721,132.61,3.2171,131.04,589.2,963.1,1409.4,0.503,1.98,1.3061
20080722,129.55,3.147,127.95,573.4,948,1416.6,0.503,1.97,1.30695
20080723,125.29,3.0344,124.44,571.4,922.4,1394.2,0.508,2.04,1.2941
20080724,126.44,3.0594,125.49,573,922,1385,0.504,2.06,1.29605
20080725,124.52,3.0323,123.26,577.2,926.6,1398.6,0.505,2.13,1.2957
20080728,125.84,3.07,124.73,582,927.6,1400.2,0.507,2,1.29425
20080729,122.71,3.0077,122.19,594,916.4,1384.2,0.51,2.05,1.27885
20080730,127.1,3.1351,126.77,601.4,902.9,1394,0.509,2.03,1.27195
20080731,123.98,3.048,124.08,587.4,913.9,1395.6,0.519,2.09,1.27655
20080801,124.18,3.068,125.1,565,909,1357.6,0.504,2.04,1.27775
20080804,120.68,3.0002,121.41,535.4,900.1,1287,0.502,1.97,1.26765
20080805,117.7,2.9564,119.17,525.2,878.6,1262.4,0.502,1.97,1.2667
20080806,117,2.9493,118.58,508,875.6,1220.4,0.5,2.01,1.27355
20080807,117.86,3.0027,120.02,522.2,870.7,1243,0.499,1.96,1.28635
20080808,113.33,2.8874,115.2,498.4,857.8,1199,0.499,2.01,1.2969
20080811,112.67,2.8666,114.45,497.2,821.5,1215,0.501,1.99,1.3036
20080812,111.15,2.8432,113.01,509,808.2,1220,0.503,1.95,1.31065
20080813,113.47,2.9323,116,539,825,1270,0.504,1.98,1.3109
20080814,112.64,2.912,115.01,557.6,808.2,1245.4,0.512,2.09,1.32205
20080815,112.55,2.8602,113.77,529.6,786,1211.4,0.504,2.08,1.31435
20080818,111.94,2.8152,112.87,553,799.7,1279,0.503,1.91,1.31435
20080819,113.25,2.8639,114.53,564.6,811.1,1267,0.503,1.94,1.31505
20080820,114.36,2.9103,114.98,575.2,810.3,1293.6,0.503,1.98,1.31305
20080821,120.16,3.0452,121.18,597.6,833,1341,0.501,2.01,1.32605
20080822,113.92,2.8686,114.59,586.4,827.4,1321,0.503,2.02,1.326
20080825,114.03,2.8823,115.11,580.2,819.8,1339.2,0.502,2.01,1.31865
20080826,114.63,2.9697,116.27,575.2,822.2,1337.4,0.508,1.88,1.31345
20080827,116.22,3.0672,118.15,577.4,828.1,1348,0.509,1.98,1.30655
20080828,114.17,3.0214,115.59,570,830.9,1332.4,0.505,1.99,1.31305
20080829,114.05,3.0099,115.46,568.2,829.3,1332,0.516,1.94,1.31465
20080902,108.34,2.7337,109.71,553,805,1301.4,0.502,1.96,1.3372
20080903,108.06,2.7668,109.35,546.4,802.7,1251,0.503,2.01,1.3449
20080904,106.3,2.7404,107.89,549.2,797.9,1234,0.503,1.99,1.3398
20080905,104.09,2.6861,106.23,531.4,797.6,1180,0.509,1.97,1.34575
20080908,103.44,2.7503,106.34,533,797.5,1194.4,0.503,1.92,1.32015
20080909,100.34,2.6526,103.26,529.4,787.1,1209,0.502,1.96,1.3218
20080910,98.97,2.6616,102.58,522.4,757.9,1181.4,0.506,2.12,1.31125
20080911,97.64,2.7488,100.87,522.2,741.3,1216,0.501,2,1.3149
20080912,97.58,2.7696,101.18,547.4,760.3,1490,0.468,2.1,1.32745
20080915,92.38,2.5614,95.71,562,783.1,1179,0.468,2.64,1.3081
20080916,89.22,2.4008,91.15,532.2,776.5,1124,0.524,1.98,1.3029
20080917,94.84,2.463,97.16,554,846.6,1139,0.55,2.8,1.3079
20080918,95.19,2.4824,97.88,527.2,892.7,1116,0.486,2.16,1.31745
20080919,99.61,2.5997,104.55,542.2,860.6,1143.4,0.433,1.48,1.3238
20080922,106.04,2.7038,120.92,558.4,903.9,1205,0.399,1.51,1.31985
20080923,103.08,2.595,106.61,560.2,885.5,1187,0.399,1.46,1.3267
20080924,102.45,2.5947,105.73,563,889,1187,0.464,1.19,1.33585
20080925,104.6,2.6973,108.02,558.2,877.7,1183,0.506,1.23,1.3318
20080926,103.54,2.6651,106.89,543,882.9,1164,0.489,1.08,1.33165
20080929,93.98,2.397,96.37,513,888.2,1094,0.497,1.56,1.33215
20080930,98.17,2.4847,100.64,487.4,874.2,1045,0.544,2.03,1.3233
20081001,95.33,2.36,98.53,484,880.7,1053,0.468,1.15,1.3142
20081002,90.56,2.255,93.97,454,839,1004,0.47,0.67,1.30655
20081003,90.25,2.2283,93.88,454,828.9,992,0.469,1.1,1.3096
20081006,83.68,2.0591,87.81,424,862.7,922,0.484,1.96,1.31085
20081007,84.66,2.0628,90.06,417,878.4,926,0.505,2.97,1.3186
20081008,84.36,2.0298,88.95,427.4,903.1,964,0.512,2.24,1.30775
20081009,82.66,2.0273,86.59,438.2,883.1,980,0.531,1.4,1.3141
20081010,74.09,1.807,77.7,408.2,855.4,910,0.585,0.79,1.3127
20081013,77.46,1.9176,81.19,411.4,838.9,928,0.585,0.79,1.32185
20081014,74.53,1.8848,78.63,411.2,836.3,896,0.473,1.1,1.31555
20081015,70.8,1.7822,74.54,388,835.5,858,0.348,1.04,1.3197
20081016,66.32,1.622,69.85,384.4,801.5,867,0.497,0.83,1.3217
20081017,69.6,1.6661,71.85,403,785.1,894,0.502,0.6,1.32225
20081020,72.03,1.7201,74.25,418.4,787.6,929,0.504,0.7,1.32375
20081021,69.72,1.6919,70.89,411,766.1,908,0.505,0.67,1.31585
20081022,64.52,1.5709,66.75,385,733.3,859,0.51,0.81,1.3152
20081023,65.92,1.5778,67.84,390.2,713.3,884.4,0.51,0.93,1.3084
20081024,62.05,1.4779,64.15,372.6,729.1,863.6,0.511,0.95,1.3051
20081027,61.41,1.4769,63.22,385.2,741.7,893,0.512,0.92,1.2936
20081028,60.29,1.4555,62.73,390.6,739.3,878.6,0.515,0.67,1.2917
20081029,65.47,1.533,67.5,420.6,752.8,937.2,0.439,0.36,1.2823
20081030,63.71,1.467,65.96,409.4,737.2,934,0.478,0.3,1.2729
20081031,65.32,1.4413,67.81,401.4,716.8,925.2,0.384,0.22,1.2716
20081103,60.48,1.3625,63.91,403,725.4,928.2,0.384,0.23,1.282
20081104,66.44,1.5327,70.53,413,756,949.4,0.28,0.23,1.2684
20081105,61.87,1.4244,65.3,390.2,741.3,894.6,0.289,0.23,1.25815
20081106,57.43,1.336,60.77,378,731.2,899.4,0.301,0.23,1.2533
20081107,57.35,1.3495,61.04,375.4,733.2,911.6,0.298,0.27,1.252
20081110,59.08,1.3679,62.41,383.4,745.6,940,0.303,0.29,1.23665
20081111,55.71,1.3059,59.33,374.2,732,908,0.306,0.29,1.23645
20081112,52.37,1.2481,56.16,369.4,717.7,885.2,0.293,0.35,1.2436
20081113,51.99,1.3024,58.24,377,704.9,887,0.304,0.35,1.24995
20081114,54.24,1.2391,57.04,380.2,742.4,878,0.292,0.34,1.2452
20081117,52.31,1.1746,54.95,385.6,741.9,906.4,0.305,0.37,1.25175
20081118,51.84,1.1368,54.39,380,732.6,902,0.306,0.38,1.2482
20081119,51.72,1.107,53.62,378.6,735.9,897,0.303,0.38,1.25035
20081120,48.08,1.007,49.62,363.6,748.6,856,0.306,0.49,1.25575
20081121,49.19,1.0643,49.93,338.4,791.7,840,0.305,0.57,1.26335
20081124,53.93,1.1425,54.5,354.4,819.4,884,0.305,0.62,1.2685
20081125,50.35,1.0949,50.77,353.4,818.4,883,0.307,0.59,1.2708
20081126,53.92,1.1798,54.44,354,808.5,886,0.304,0.53,1.25395
20081128,53.49,1.1462,54.43,349.4,816.2,883,0.318,0.52,1.2504
20081201,47.97,1.1112,49.28,332.6,774.6,846,0.299,0.52,1.24435
20081202,45.44,1.0583,46.96,332.4,781.3,827,0.279,0.47,1.26635
20081203,45.44,1.0415,46.79,332,768.8,830,0.257,0.36,1.2575
20081204,42.28,0.9695,43.67,318.2,763.8,811,0.263,0.2,1.26075
20081205,39.74,0.9012,40.81,293.4,750.5,783.4,0.256,0.12,1.2528
20081208,43.42,0.9618,43.71,314.2,767.4,820.4,0.275,0.12,1.2313
20081209,41.53,0.9364,42.07,312.2,772.4,813,0.255,0.13,1.225
20081210,42.4,0.9687,43.52,326.6,807.1,829.4,0.247,0.11,1.22405
20081211,47.39,1.0786,47.98,338,824.9,856.4,0.229,0.14,1.2204
20081212,46.41,1.0777,46.28,359.4,818.9,854,0.222,0.15,1.2249
20081215,44.6,1.0369,44.51,375.2,835.4,846,0.235,0.18,1.2284
20081216,44.56,1.04,43.6,394,841.7,858.4,0.242,0.17,1.22815
20081217,45.53,1.0055,40.06,389.4,867.5,864,0.239,0.12,1.21575
20081218,43.36,0.9629,36.22,389.4,859.6,869.4,0.237,0.11,1.21155
20081219,44,0.9693,33.87,380.6,836.4,868.2,0.203,0.11,1.20605
20081222,41.45,0.8862,39.91,381.6,846.2,886.4,0.124,0.11,1.2319
20081223,40.36,0.856,38.98,394.6,837.2,901,0.124,0.11,1.2262
20081224,36.61,0.7927,35.35,398,847.1,915.6,0.121,0.11,1.2303
20081226,38.37,0.844,37.71,412.2,870.4,951.6,0.116,0.09,1.21805
20081229,40.55,0.8745,40.02,393.4,874.6,938.4,0.111,0.1,1.2399
20081230,40.15,0.8853,39.03,396.2,869.3,945.6,0.103,0.09,1.23655
20081231,45.59,1.0082,44.6,407,883.6,972.2,0.103,0.14,1.2306
20090102,46.91,1.1105,46.34,412.2,878.8,970,0.103,0.08,1.23325
20090105,49.62,1.1824,48.81,411.2,857.2,983.6,0.106,0.11,1.23555
20090106,50.53,1.1892,48.58,427.4,865.4,1014.2,0.106,0.09,1.2334
20090107,45.86,1.0764,42.63,416.4,841.1,990,0.109,0.11,1.23455
20090108,44.67,1.0882,41.7,406.6,853.9,989,0.11,0.1,1.2472
20090109,44.42,1.1112,40.83,410.6,854.3,1037.4,0.112,0.09,1.25285
20090114,45.08,1.1677,37.28,366.4,808.2,978,0.131,0.15,1.25295
20090115,44.69,1.1742,35.4,365.2,806.7,994.4,0.133,0.18,1.2505
20090116,46.57,1.1672,36.51,391,839.3,1020,0.123,0.19,1.2577
20090120,43.62,1.1431,38.74,383.4,854.6,992,0.12,0.2,1.2631
20090121,45.02,1.1738,43.55,390.2,849.6,1020.4,0.126,0.23,1.28155
20090122,45.39,1.0934,43.67,387.4,858.2,1012,0.122,0.21,1.27585
20090126,46.96,1.1531,45.73,393.75,908.5,1009,0.122,0.19,1.31265
20090127,43.73,1.1085,41.58,377.5,899.2,976,0.123,0.18,1.31165
20090128,44.9,1.1835,42.16,384.5,888.1,982.5,0.12,0.19,1.30465
20090129,45.4,1.2309,41.44,381.75,905.1,970.5,0.125,0.23,1.3048
20090130,45.88,1.2689,41.68,379,927.3,980,0.128,0.23,1.2969
20090202,43.82,1.1492,40.08,370.5,906.7,959.5,0.122,0.24,1.29005
20090203,44.08,1.167,40.78,361.75,892,946,0.118,0.24,1.28725
20090204,44.15,1.2184,40.32,358.25,901.6,949.5,0.11,0.24,1.29135
20090205,46.46,1.2748,41.17,371.25,913.6,980,0.109,0.23,1.28595
20090206,46.21,1.2507,40.17,377.25,913.9,1001,0.11,0.23,1.28885
20090209,46.02,1.2471,39.56,377.5,892.4,1002,0.109,0.22,1.3019
20090210,44.61,1.2439,37.55,376.75,913.7,994,0.112,0.24,1.3034
20090211,44.28,1.2698,35.94,368.5,943.8,978,0.112,0.22,1.297
20090212,44.65,1.2583,33.98,366.25,948.5,968.5,0.113,0.23,1.2885
20090213,44.81,1.2063,37.51,363.25,941.5,955.5,0.111,0.22,1.2875
20090217,41.03,1.1118,34.93,349.25,967,903,0.111,0.25,1.30545
20090218,39.55,1.0652,34.62,349.25,977.7,887.5,0.107,0.23,1.31185
20090219,41.99,1.0986,39.48,353.25,976.1,884.5,0.106,0.21,1.30665
20090220,41.89,1.0746,38.94,350.25,1001.8,862.5,0.105,0.2,1.30225
20090223,40.99,1.0433,38.44,351.75,994.6,872.75,0.108,0.19,1.2974
20090224,42.5,1.0837,39.96,354.25,969.1,881,0.109,0.21,1.2933
20090225,44.29,1.1667,42.5,363.75,965.7,878,0.111,0.21,1.2942
20090226,46.51,1.3004,45.22,362,941.8,869.25,0.111,0.22,1.2903
20090227,46.35,1.2807,44.76,350.75,941.5,874.5,0.109,0.22,1.29625
20090302,42.21,1.2862,40.15,343.5,939,848.5,0.099,0.22,1.2836
20090303,43.7,1.3194,41.65,343.5,912.9,863,0.101,0.2,1.27965
20090304,46.12,1.3816,45.38,355.25,906,875.5,0.1,0.21,1.28145
20090305,43.64,1.3127,43.61,349.25,927,862.5,0.101,0.2,1.2771
20090306,44.85,1.3322,45.52,352.75,942.1,879,0.099,0.2,1.2747
20090309,44.13,1.3351,47.07,357.25,917.7,881,0.103,0.2,1.2704
20090310,43.96,1.2972,45.71,366.75,895.6,889,0.11,0.2,1.27355
20090311,41.4,1.2512,42.33,356,910.4,875,0.103,0.19,1.27805
20090312,45.09,1.3457,47.03,376.75,923.7,899,0.105,0.18,1.27435
20090313,44.93,1.3529,46.25,375,929.8,882.5,0.103,0.15,1.28135
20090316,43.98,1.3673,47.35,391.5,921.6,911,0.103,0.2,1.2885
20090317,48.24,1.4238,49.16,390.5,916.4,913,0.1,0.2,1.29765
20090318,47.66,1.3657,48.14,388.25,888.7,915,0.101,0.18,1.29715
20090319,50.67,1.4373,51.61,396.5,958.3,940.5,0.104,0.17,1.2943
20090320,51.22,1.457,51.06,396.5,955.8,952,0.104,0.18,1.2955
20090323,53.47,1.4881,53.8,395.5,952.1,955.5,0.101,0.17,1.3054
20090324,53.5,1.5026,53.98,393.75,923.3,967,0.097,0.17,1.30945
20090325,51.75,1.495,52.77,385.75,935.4,951,0.095,0.17,1.30675
20090326,53.46,1.5311,54.34,390.75,939.6,944,0.097,0.16,1.29675
20090327,51.98,1.4879,52.38,387,923,917,0.093,0.15,1.29265
20090330,47.99,1.3799,48.41,386.25,915.5,904.5,0.097,0.16,1.30737
20090331,49.23,1.4,49.66,404.75,922.6,952,0.088,0.16,1.30772
20090401,48.44,1.3717,48.39,396,926.1,952,0.101,0.16,1.31622
20090402,52.75,1.4698,52.64,402.5,907.4,977,0.1,0.16,1.31632
20090403,53.47,1.4924,52.51,404.5,895.6,995.5,0.103,0.13,1.32294
20090406,52.24,1.4755,51.05,405.5,871.5,994,0.1,0.14,1.31886
20090407,51.22,1.4604,49.15,396.25,882.2,989.5,0.097,0.14,1.31868
20090408,51.59,1.4396,49.38,397,884.8,1006,0.096,0.14,1.31832
20090409,54.06,1.481,52.24,390.25,882.2,1007,0.1,0.14,1.32235
20090413,52.14,1.4632,50.05,387.5,894.7,1021.5,0.109,0.13,1.32045
20090414,51.96,1.4576,49.41,394.25,890.9,1036,0.108,0.16,1.31867
20090415,51.79,1.4468,49.25,384.5,892.8,1035,0.103,0.16,1.30485
20090416,53.06,1.4743,49.98,385.75,879.3,1058.5,0.103,0.15,1.30683
20090417,53.35,1.4927,50.33,376.25,867.4,1051,0.106,0.13,1.3116
20090420,49.86,1.4119,45.88,369.5,887,1018.5,0.104,0.14,1.32714
20090421,49.82,1.4144,46.51,374,882.1,1038,0.102,0.15,1.3343
20090422,49.81,1.3906,48.85,373.5,891.8,1046,0.101,0.15,1.33823
20090423,50.11,1.3944,49.62,381,905.9,1037.75,0.104,0.17,1.3306
20090424,51.67,1.442,51.55,377,913.6,1040.25,0.105,0.16,1.32897
20090427,50.32,1.4032,50.14,372.25,907.4,1004.75,0.108,0.17,1.3314
20090428,49.99,1.3977,49.92,375,892.8,989.5,0.109,0.16,1.3322
20090429,50.78,1.4484,50.97,393,899.8,1034,0.109,0.18,1.33175
20090430,50.8,1.4742,51.12,396.25,890.7,1070,0.113,0.2,1.33779
20090501,52.85,1.5174,53.2,406.25,887.6,1102,0.102,0.22,1.34602
20090504,54.58,1.586,54.47,398,901.6,1115.25,0.102,0.22,1.35667
20090505,54.12,1.5722,53.84,398.5,903.7,1116,0.102,0.2,1.35798
20090506,56.15,1.628,56.34,400.75,910.5,1135,0.102,0.18,1.3641
20090507,56.47,1.6655,56.71,404.75,915,1119,0.109,0.18,1.35142
20090511,57.48,1.6802,58.5,413.5,914.4,1130,0.104,0.17,1.33615
20090512,57.94,1.6679,58.85,419.5,923.5,1137.5,0.096,0.16,1.34061
20090513,57.34,1.6888,58.02,419.5,925.5,1150,0.104,0.16,1.34543
20090514,56.69,1.7237,58.62,421.5,928,1166,0.099,0.16,1.34524
20090515,55.98,1.6806,56.34,417.25,930.9,1130.5,0.1,0.17,1.33616
20090518,58.47,1.7581,59.03,421.5,921.3,1146.5,0.101,0.16,1.33886
